Block_Code,Block_Name,Band,Site,Date,Specific_Conductance,Chloride,Sulfate,NO2,NplusN,NH4,DIN,DRP,DiSi,DOC,SUVA,SPM,PC,PN,B,Ba,Ca,K,Mg,Na,S,Sr
TD5,Toe Drain I-5,NA,TD5,2000-01-17,NA,NA,NA,1.21,363,7.83,370.8,29.2,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCW16,Ridge Cut West,NA,RCW16,2000-01-17,NA,NA,NA,3.37,85.9,5.15,91.1,1.4,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC113,Cache Creek,NA,CC113,2000-01-17,NA,NA,NA,1.52,309,0.55,309.6,0.05,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCD,Putah Creek,NA,PCD,2000-01-17,NA,NA,NA,1.02,183,2.36,185.4,0.76,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCD,Putah Creek,NA,PCD_rerun,2000-02-28,NA,NA,NA,0.22,51,2.32,53.3,2.92,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCD,Putah Creek,NA,PCD_rerun,2000-03-07,NA,NA,NA,0.3,18.4,2.46,20.9,1.63,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,0.029,135,3.04,0.42,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,0.071,88,3.1,0.46,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,0.041,78,1.48,0.19,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,0.044,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,0.027,87,2.1,0.29,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,0.026,99,2.04,0.3,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0.025,102,2.05,0.4,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.026,110,2.1,0.34,NA,NA,NA,NA,NA,NA,NA,NA
RCE16,Ridge Cut Canal,NA,RCE16,2000-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,0.024,54,1.95,0.42,NA,NA,NA,NA,NA,NA,NA,NA
Outlet,Southern Outlet,NA,YB1,2000-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.03,15,1.4,10,12,7.6,0.12
